,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
237,1.5002064,-0.5205889,-1.859943,-3.3371239,1.0679309,-0.3469355
238,1.1664605,-0.8209928,-2.1102843,-3.2165675,1.3685272,-0.656883
239,1.9578272,0.11783153,-1.7206146,-3.009617,2.5926871,0.24992332
240,1.7356359,-0.29107302,-1.966234,-2.8526368,2.0073252,-0.456402
241,-1.7910191,1.1150689,-1.4310324,-1.7694128,-1.9981333,0.9046983
242,-0.19097206,-0.170608,-1.7335352,-2.8591747,-0.29222387,0.02071035
243,0.044231832,0.82061005,-1.3885571,-2.2680027,-0.62181073,0.26936197
244,1.9091266,0.8924527,-1.3754625,-2.2504296,2.6755266,0.9676803
245,1.3354477,-0.71674466,-2.2350855,-3.2377677,1.3356861,-0.61836374
246,-1.5300891,0.17162785,-1.3919352,-2.687272,-1.5761863,0.049802393
247,1.0918223,1.1545566,-1.1809604,-2.014401,1.4246119,1.2714853
248,-0.33584613,0.35325167,-1.2317847,-2.374741,-0.12649849,0.035974562
249,2.178762,-0.17646709,-1.9750147,-2.905702,1.4474142,-0.11582276
250,0.30716038,0.93737686,-1.3129725,-2.1922126,-0.09832245,1.3446957
251,0.94503963,-0.9742631,-1.918993,-3.3058524,1.1652783,-0.8519572
252,-0.98842174,-0.26451558,-1.7216089,-3.0957797,-0.7598696,-0.08835369
253,-0.15070587,0.4297717,-1.3801095,-2.3622017,-0.19065669,0.28213197
254,0.46047676,-0.8377763,-1.878968,-3.1390727,0.5145282,-0.828731
255,-3.4174128,0.32629034,-2.8745184,-2.5848274,-3.363618,0.35869682
256,-2.1177797,-0.5786863,-1.9814551,-3.4267087,-2.4143748,-0.34718496
257,0.30035722,0.52315617,-1.3885331,-2.4554896,0.2841364,0.19560516
258,2.208353,-0.6135386,-2.0354276,-3.4443989,1.6450701,-0.16946602
259,-2.1150148,0.58764994,-1.9269524,-2.2217321,-1.8835486,0.84074056
260,0.8627224,0.89344704,-1.438733,-2.4959586,0.41496888,0.6824275
261,0.07748383,0.968753,-1.2752836,-2.0948856,0.5325582,1.5379063
262,-1.7086798,0.15960386,-1.5267103,-2.4721029,-1.3585776,0.14710791
263,0.37541264,0.04671842,-1.5235237,-2.5893474,-0.45428222,0.32540694
264,1.81225,0.48403665,-1.64352,-2.3839025,0.885925,0.9307748
265,0.050558686,1.3390614,-1.1183007,-1.7523851,-0.30594653,1.5626929
266,-2.9226909,0.26029184,-2.754716,-2.405565,-3.2717845,0.13002813
267,0.03742349,0.13419327,-1.5711116,-2.705453,0.113246635,0.5625077
268,-0.72785413,-0.14871809,-1.8714335,-3.035965,-0.8426186,0.171146
269,-0.3790049,-0.33542246,-1.4881257,-2.8792734,-0.111884,-0.5109329
270,1.2849805,0.5197381,-1.3774765,-2.3366482,0.37801343,0.28936088
271,-0.59201616,0.90445745,-1.1056201,-2.1417413,0.4806735,1.0315335
272,-0.4004315,0.24479601,-1.3103085,-2.614984,-1.0443512,-0.23264301
273,0.8160454,-0.66648203,-2.7061682,-3.474533,1.0998982,-0.5467349
274,1.8325425,-0.08089276,-1.6898229,-3.1595159,3.03264,-0.0062018856
275,-1.8039392,-0.08656868,-1.6249117,-3.0509715,-2.0301483,0.03541319
276,-1.0898163,0.64722705,-1.3821614,-2.2738223,-0.7500257,0.6758875
277,0.11784136,2.0126204,-1.0835519,-1.4305086,-0.48099953,2.1475794
278,-0.40250874,0.74841774,-1.154829,-2.2616072,-0.04854226,0.2610403
279,0.012702346,-0.19548976,-1.411479,-2.846528,-0.5027372,-0.0897768
280,0.22665691,-0.291748,-1.5734079,-2.9099028,0.8137835,-0.39176673
281,-1.0110569,-0.065528184,-1.3967885,-2.760189,-1.3200512,0.52327764
282,0.008479357,0.2045056,-1.2714696,-2.5046024,-0.18088205,0.5881783
283,0.50803185,0.7798382,-1.4218562,-2.2633078,0.63683563,0.5933324
284,-2.2660828,-0.8007263,-2.2522135,-3.7532475,-2.473535,-0.94853616
285,-1.2263105,0.1749908,-1.3881398,-2.7237515,-1.435744,-0.22077361
286,-1.3366838,-0.12065634,-1.4219662,-2.7883835,-1.9129683,-0.2926492
287,-0.61440074,0.46783575,-1.2130708,-2.4493089,-1.3025022,0.589866
288,-1.5211687,0.4690548,-1.2012784,-2.3795803,-2.0062292,0.562181
289,-0.52272296,1.0089649,-1.355746,-2.0128145,-0.84536487,0.9948675
290,-0.9973687,0.41784856,-1.2381457,-2.4112864,-0.49627,-0.0509139
291,-0.6810895,-0.059095323,-1.5074228,-2.7946646,-1.092141,0.26254287
292,-1.1004745,-0.49237645,-1.9966116,-3.3001068,-0.9477064,-0.5149783
293,-0.23908386,0.47933194,-1.3671467,-2.3278055,1.2915244,0.35517332
294,0.7332877,0.39356634,-1.4477887,-2.371812,1.2347498,0.021469682
295,-0.06077695,0.8686038,-1.4145999,-2.235114,0.5754906,1.355275
296,-1.2434796,0.2444543,-1.3803813,-2.6642036,-0.8637829,0.5828935
297,0.05178356,0.22179529,-1.6238432,-2.5708084,0.11537613,0.3555327
298,0.47502017,0.17167768,-1.3177766,-2.4447358,1.148768,0.34692872
299,2.2721934,0.66469,-1.4974295,-2.2570179,2.7570803,0.5058687
300,0.46719372,-0.60585046,-2.7376866,-3.4909005,0.70243514,-0.50227493
301,1.2598631,1.9191209,-0.90753704,-1.5357558,-0.69724727,2.1077523
302,-1.0693839,1.02066,-1.1469138,-1.9076705,-1.2065946,0.8251793
303,1.8300837,-0.34556812,-2.5593328,-3.253691,1.775218,-0.24711567
304,0.6641271,-0.97816646,-2.4538422,-3.4865592,0.47374505,-1.0931542
305,0.25120974,0.54881036,-1.2998405,-2.3896127,-0.21564132,1.1633782
306,-2.0462685,1.0675243,-2.0060663,-1.7069347,-1.6786723,0.8407852
307,0.5207387,1.0928656,-1.1302605,-2.0107234,0.7788347,0.8536375
308,-1.6668806,-0.553579,-1.9246738,-3.351179,-2.2121053,-0.572135
309,1.178961,0.6459694,-1.3195744,-2.1892602,1.3806114,0.20438558
310,-0.9256999,0.12704146,-1.5031817,-2.7496572,-0.77653766,0.36542678
311,-1.5837437,-0.8305496,-1.9196903,-3.342627,-1.6998364,-0.8584253
312,-0.29702085,-0.429709,-1.6257584,-2.982958,-0.8756174,-0.19381937
313,-1.3825948,0.44405589,-1.2008766,-2.3863723,-1.028215,0.42392868
314,2.5899248,-1.4770206,-2.394213,-4.3399324,2.2497222,-1.5120099
315,-1.4998639,-0.81749976,-1.8977673,-3.3261254,-1.3581909,-0.49945283
316,1.2043542,-0.15868053,-1.8430072,-2.741315,0.64237154,-0.3782307
317,0.44422054,0.021404326,-1.254543,-2.5250247,-0.6396594,0.20595458
318,1.3009522,0.6303028,-1.391504,-2.2865117,1.3763534,1.0280924
319,0.6177995,-0.8249961,-2.9570365,-3.6723459,0.65833515,-0.8738077
320,0.8596759,0.20683438,-1.6097097,-2.5027156,0.5895592,0.10529921
321,-0.13617513,0.115462214,-1.3773731,-2.8022869,-0.44704562,-0.28818667
322,-0.6018467,0.12915641,-1.223824,-2.5408313,-0.82277346,0.22875696
